12,HxD.lnk,0.78,2020-09-19 05:41:44,2020-09-19 05:41:44,2020-11-22 10:11:21,HxD.exe,6589.0,2020-09-19 05:41:43,2020-02-28 03:26:06,2020-09-19 05:41:43,Fixed (Hard disk),4229372527,C:\Program Files\HxD\HxD.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\HxD Hex Editor\HxD.lnk
13,License.lnk,0.8,2020-09-19 05:41:44,2020-09-19 05:41:44,2020-11-22 10:11:21,license.txt,1.64,2020-09-19 05:41:43,2020-02-22 23:26:44,2020-09-19 05:41:43,Fixed (Hard disk),4229372527,C:\Program Files\HxD\license.txt,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\HxD Hex Editor\License.lnk
14,Readme.lnk,0.8,2020-09-19 05:41:44,2020-09-19 05:41:44,2020-11-22 10:11:21,readme.txt,4.59,2020-09-19 05:41:43,2020-02-22 23:27:58,2020-09-19 05:41:43,Fixed (Hard disk),4229372527,C:\Program Files\HxD\readme.txt,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\HxD Hex Editor\Readme.lnk
15,IDA Pro (32-bit).lnk,0.81,2020-09-21 05:05:41,2020-09-21 05:05:41,2020-11-22 10:11:21,ida.exe,3877.0,2020-09-21 05:05:37,2017-09-14 06:08:10,2020-09-21 05:05:37,Fixed (Hard disk),4229372527,C:\Program Files\IDA 7.0\ida.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\IDA Pro\IDA Pro (32-bit).lnk
16,IDA Pro (64-bit).lnk,0.83,2020-09-21 05:05:41,2020-09-21 05:05:41,2020-11-22 10:11:21,ida64.exe,3875.5,2020-09-21 05:05:37,2017-09-14 06:08:10,2020-09-21 05:05:37,Fixed (Hard disk),4229372527,C:\Program Files\IDA 7.0\ida64.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\IDA Pro\IDA Pro (64-bit).lnk
17,The Interactive Disassembler help.lnk,0.84,2020-09-21 05:05:41,2020-09-21 05:05:41,2020-11-22 10:11:21,idahelp.chm,579.63,2020-09-21 05:05:37,2017-09-14 06:08:10,2020-09-21 05:05:37,Fixed (Hard disk),4229372527,C:\Program Files\IDA 7.0\idahelp.chm,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\IDA Pro\The Interactive Disassembler help.lnk
18,Uninstall.lnk,0.99,2020-09-21 05:05:41,2020-09-21 05:05:58,2020-11-22 10:11:21,unins000.exe,708.16,2020-09-21 05:05:36,2020-09-21 05:05:20,2020-09-21 05:05:36,Fixed (Hard disk),4229372527,C:\Program Files\IDA 7.0\unins000.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\IDA Pro\Uninstall.lnk
19,PyCharm Community Edition 2020.2.2.lnk,1.27,2020-09-21 04:49:49,2020-09-21 04:49:49,2020-11-22 10:11:21,pycharm64.exe,1298.84,2020-09-16 12:33:54,2020-09-16 12:33:54,2020-09-21 04:49:28,Fixed (Hard disk),4229372527,C:\Program Files\JetBrains\PyCharm Community Edition 2020.2.2\bin\pycharm64.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\JetBrains\PyCharm Community Edition 2020.2.2.lnk
20,Kernel OST Viewer.lnk,1.17,2020-11-11 08:43:57,2020-11-11 08:43:57,2020-11-22 10:11:21,Kernel OST Viewer.exe,44750.88,2020-11-11 08:43:57,2020-04-09 10:08:28,2020-11-11 08:43:57,Fixed (Hard disk),4229372527,C:\Program Files (x86)\Kernel OST Viewer\Kernel OST Viewer.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Kernel OST Viewer\Kernel OST Viewer.lnk
21,Uninstall Kernel OST Viewer  .lnk,1.17,2020-11-11 08:43:57,2020-11-11 08:44:10,2020-11-22 10:11:21,unins000.exe,730.16,2020-11-11 08:43:57,2020-11-11 08:43:51,2020-11-11 08:43:57,Fixed (Hard disk),4229372527,C:\Program Files (x86)\Kernel OST Viewer\unins000.exe,D4:5D:64:B8:E8:8E,D4:5D:64:B8:E8:8E,desktop-2fa2vo6,c:\ProgramData\Microsoft\Windows\Start Menu\Programs\Kernel OST Viewer\Uninstall Kernel OST Viewer  .lnk
